""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2013"
"Amounts in $ per capita"
"Protection"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","142.6","a","358.4","a","501.0","a","39,643.4","a","1.0","a","4.8","e"
"Alaska","673.5","a","566.8","a","1,240.3","a","76,821.7","a","-5.1","a","0.7","e"
"Arizona","202.0","a","544.5","a","746.4","a","41,490.9","a","0.7","a","6.6","e"
"Arkansas","162.6","a","327.9","a","490.5","a","38,606.5","a","2.8","a","3.0","e"
"California","321.7","a","707.9","a","1,029.5","a","59,140.7","a","3.6","a","38.3","e"
"Colorado","213.2","a","500.3","a","713.5","a","54,716.8","a","3.3","a","5.3","e"
"Connecticut","261.0","a","423.4","a","684.4","a","68,607.2","a","-1.1","a","3.6","e"
"Delaware","500.1","a","264.4","a","764.5","a","65,686.1","a","-4.5","a","0.9","e"
"District of Columbia","0.0","a","1,713.7","a","1,713.7","a","176,597.5","a","-0.1","a","0.7","e"
"Florida","154.1","a","632.8","a","787.0","a","40,965.9","a","1.9","a","19.5","e"
"Georgia","152.0","a","413.2","a","565.2","a","46,185.6","a","1.5","a","10.0","e"
"Hawaii","190.2","a","387.3","a","577.5","a","53,817.7","a","0.9","a","1.4","e"
"Idaho","308.8","a","375.8","a","684.6","a","37,870.7","a","3.6","a","1.6","e"
"Illinois","150.1","a","590.7","a","740.7","a","57,357.3","a","0.5","a","12.9","e"
"Indiana","149.7","a","316.1","a","465.8","a","46,992.8","a","2.1","a","6.6","e"
"Iowa","153.7","a","329.2","a","482.8","a","51,826.7","a","-0.4","a","3.1","e"
"Kansas","161.5","a","427.0","a","588.4","a","49,502.5","a","0.0","a","2.9","e"
"Kentucky","194.0","a","276.6","a","470.7","a","41,401.4","a","1.8","a","4.4","e"
"Louisiana","159.9","a","617.4","a","777.2","a","49,511.4","a","-3.0","a","4.6","e"
"Maine","174.9","a","303.0","a","477.9","a","40,450.7","a","-0.7","a","1.3","e"
"Maryland","353.9","a","553.2","a","907.1","a","57,613.4","a","0.0","a","5.9","e"
"Massachusetts","258.4","a","416.4","a","674.8","a","67,678.3","a","0.1","a","6.7","e"
"Michigan","244.6","a","393.0","a","637.6","a","43,651.3","a","1.3","a","9.9","e"
"Minnesota","139.7","a","422.2","a","561.9","a","56,553.8","a","2.2","a","5.4","e"
"Mississippi","170.5","a","348.4","a","518.9","a","34,007.3","a","0.0","a","3.0","e"
"Missouri","174.7","a","396.9","a","571.5","a","45,996.3","a","1.2","a","6.0","e"
"Montana","263.5","a","379.4","a","642.8","a","42,563.4","a","1.0","a","1.0","e"
"Nebraska","195.4","a","360.2","a","555.5","a","57,687.9","a","2.7","a","1.9","e"
"Nevada","156.7","a","709.8","a","866.6","a","47,054.2","a","0.2","a","2.8","e"
"New Hampshire","159.3","a","457.5","a","616.8","a","52,902.8","a","1.6","a","1.3","e"
"New Jersey","264.9","a","522.8","a","787.7","a","60,256.2","a","0.7","a","8.9","e"
"New Mexico","250.3","a","517.6","a","767.9","a","42,256.1","a","-1.3","a","2.1","e"
"New York","214.9","a","788.7","a","1,003.6","a","69,076.3","a","-0.2","a","19.6","e"
"North Carolina","190.1","a","396.4","a","586.6","a","46,277.2","a","1.3","a","9.8","e"
"North Dakota","197.4","a","324.2","a","521.6","a","74,624.7","a","2.3","a","0.7","e"
"Ohio","161.8","a","448.2","a","610.0","a","48,463.4","a","1.8","a","11.6","e"
"Oklahoma","209.7","a","359.6","a","569.3","a","47,393.7","a","2.4","a","3.9","e"
"Oregon","259.8","a","526.3","a","786.1","a","45,732.2","a","0.8","a","3.9","e"
"Pennsylvania","256.4","a","359.9","a","616.3","a","51,963.5","a","1.6","a","12.8","e"
"Rhode Island","273.6","a","584.6","a","858.3","a","50,432.1","a","0.9","a","1.1","e"
"South Carolina","147.4","a","337.7","a","485.1","a","38,415.6","a","2.0","a","4.8","e"
"South Dakota","210.0","a","296.8","a","506.7","a","53,204.4","a","0.4","a","0.8","e"
"Tennessee","134.3","a","418.5","a","552.9","a","45,086.0","a","1.1","a","6.5","e"
"Texas","174.6","a","414.2","a","588.7","a","56,730.9","a","4.3","a","26.5","e"
"All states combined","214.0","a","505.1","a","719.1","a","53,117.8","a","1.8","a","316.0","e"
"Utah","196.2","a","349.9","a","546.1","a","46,331.5","a","2.5","a","2.9","e"
"Vermont","452.1","a","254.5","a","706.5","a","46,468.1","a","-1.3","a","0.6","e"
"Virginia","212.5","a","507.1","a","719.6","a","55,143.8","a","0.4","a","8.3","e"
"Washington","239.5","a","451.6","a","691.1","a","60,216.3","a","2.6","a","7.0","e"
"West Virginia","249.9","a","241.3","a","491.2","a","38,317.7","a","1.1","a","1.9","e"
"Wisconsin","222.5","a","500.6","a","723.1","a","49,223.9","a","0.7","a","5.7","e"
"Wyoming","366.1","a","580.5","a","946.6","a","66,863.1","a","0.2","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
