""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2017"
"Amounts in $ per capita"
"Health Care"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,869.9","a","926.7","a","2,796.6","a","43,156.1","a","1.2","a","4.9","e"
"Alaska","3,080.1","a","681.1","a","3,761.1","a","70,032.6","a","0.0","a","0.7","e"
"Arizona","1,649.9","a","156.3","a","1,806.2","a","46,492.8","a","3.5","a","7.0","e"
"Arkansas","2,703.2","a","94.5","a","2,797.8","a","41,109.3","a","0.7","a","3.0","e"
"California","2,635.8","a","966.4","a","3,602.1","a","71,626.5","a","4.4","a","39.4","e"
"Colorado","1,476.2","a","400.4","a","1,876.6","a","62,368.4","a","4.0","a","5.6","e"
"Connecticut","1,368.5","a","43.9","a","1,412.4","a","75,087.5","a","0.4","a","3.6","e"
"Delaware","2,778.3","a","41.6","a","2,819.8","a","73,968.5","a","-0.6","a","1.0","e"
"District of Columbia","0.0","a","5,338.0","a","5,338.0","a","192,893.7","a","1.2","a","0.7","e"
"Florida","1,436.5","a","485.1","a","1,921.6","a","47,017.9","a","3.4","a","21.0","e"
"Georgia","1,271.9","a","446.7","a","1,718.5","a","54,414.8","a","3.7","a","10.4","e"
"Hawaii","2,597.5","a","36.2","a","2,633.7","a","62,784.0","a","2.3","a","1.4","e"
"Idaho","1,344.0","a","436.7","a","1,780.7","a","42,337.1","a","3.5","a","1.7","e"
"Illinois","1,665.0","a","254.7","a","1,919.8","a","64,702.3","a","0.9","a","12.8","e"
"Indiana","1,972.9","a","690.8","a","2,663.8","a","52,733.8","a","1.9","a","6.7","e"
"Iowa","2,174.8","a","756.8","a","2,931.6","a","57,884.2","a","-0.3","a","3.1","e"
"Kansas","2,229.9","a","418.3","a","2,648.2","a","55,426.4","a","1.0","a","2.9","e"
"Kentucky","2,829.8","a","259.3","a","3,089.1","a","45,081.5","a","1.1","a","4.5","e"
"Louisiana","2,403.1","a","531.2","a","2,934.3","a","51,215.3","a","1.4","a","4.7","e"
"Maine","1,995.5","a","116.4","a","2,111.8","a","46,485.7","a","2.2","a","1.3","e"
"Maryland","2,051.8","a","94.8","a","2,146.6","a","65,449.5","a","0.9","a","6.0","e"
"Massachusetts","3,257.3","a","148.8","a","3,406.1","a","78,834.2","a","2.5","a","6.9","e"
"Michigan","1,905.4","a","406.7","a","2,312.2","a","50,692.4","a","1.5","a","10.0","e"
"Minnesota","2,281.6","a","472.6","a","2,754.2","a","63,133.8","a","1.9","a","5.6","e"
"Mississippi","2,587.1","a","860.2","a","3,447.3","a","36,882.3","a","0.9","a","3.0","e"
"Missouri","2,122.2","a","382.6","a","2,504.8","a","49,936.5","a","1.0","a","6.1","e"
"Montana","2,208.0","a","238.2","a","2,446.2","a","45,187.7","a","1.7","a","1.1","e"
"Nebraska","1,268.8","a","466.8","a","1,735.6","a","62,902.0","a","2.1","a","1.9","e"
"Nevada","1,247.0","a","315.1","a","1,562.1","a","53,486.0","a","3.2","a","3.0","e"
"New Hampshire","1,505.1","a","16.4","a","1,521.5","a","59,979.8","a","1.8","a","1.3","e"
"New Jersey","2,164.7","a","82.8","a","2,247.5","a","66,999.3","a","0.7","a","8.9","e"
"New Mexico","3,368.0","a","173.7","a","3,541.7","a","45,065.5","a","0.1","a","2.1","e"
"New York","3,367.2","a","804.7","a","4,171.8","a","81,886.8","a","2.1","a","19.6","e"
"North Carolina","1,558.8","a","1,047.8","a","2,606.6","a","52,433.9","a","2.1","a","10.3","e"
"North Dakota","1,851.8","a","104.4","a","1,956.2","a","69,505.1","a","-0.0","a","0.8","e"
"Ohio","2,482.2","a","374.2","a","2,856.3","a","55,347.2","a","1.6","a","11.7","e"
"Oklahoma","1,708.0","a","308.9","a","2,016.9","a","47,914.7","a","0.8","a","3.9","e"
"Oregon","2,289.3","a","314.5","a","2,603.9","a","54,691.1","a","3.8","a","4.1","e"
"Pennsylvania","2,531.6","a","319.7","a","2,851.3","a","58,204.0","a","0.6","a","12.8","e"
"Rhode Island","2,914.3","a","19.5","a","2,933.8","a","55,421.0","a","-0.2","a","1.1","e"
"South Carolina","1,986.9","a","1,027.7","a","3,014.5","a","44,433.2","a","3.3","a","5.0","e"
"South Dakota","1,136.5","a","182.7","a","1,319.2","a","56,983.1","a","-0.1","a","0.9","e"
"Tennessee","1,628.9","a","578.7","a","2,207.6","a","51,566.6","a","1.9","a","6.7","e"
"Texas","1,511.2","a","524.9","a","2,036.2","a","58,866.0","a","2.9","a","28.3","e"
"All states combined","2,101.7","a","521.8","a","2,623.5","a","60,062.3","a","2.4","a","325.0","e"
"Utah","1,665.6","a","202.3","a","1,867.9","a","53,935.1","a","3.9","a","3.1","e"
"Vermont","2,442.1","a","16.7","a","2,458.8","a","51,589.8","a","0.1","a","0.6","e"
"Virginia","1,835.6","a","197.7","a","2,033.3","a","60,184.0","a","1.8","a","8.5","e"
"Washington","2,206.2","a","653.7","a","2,859.9","a","70,697.8","a","5.2","a","7.4","e"
"West Virginia","2,451.8","a","210.1","a","2,661.9","a","40,265.8","a","1.5","a","1.8","e"
"Wisconsin","2,097.8","a","238.0","a","2,335.8","a","55,609.2","a","1.3","a","5.8","e"
"Wyoming","1,819.4","a","2,036.2","a","3,855.6","a","64,694.4","a","-0.1","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
