""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2019"
"Amounts in $ per capita"
"Education"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,464.9","g","1,682.9","g","3,147.8","g","47,105.8","a","2.3","a","4.9","e"
"Alaska","1,856.5","g","2,500.2","g","4,356.7","g","75,738.5","a","2.5","a","0.7","e"
"Arizona","879.9","g","1,411.4","g","2,291.2","g","50,309.7","a","3.1","a","7.3","e"
"Arkansas","1,198.6","g","1,833.4","g","3,032.0","g","44,131.8","a","1.8","a","3.0","e"
"California","1,023.8","g","2,828.4","g","3,852.2","g","79,405.1","a","2.6","a","39.5","e"
"Colorado","1,346.3","g","2,171.1","g","3,517.4","g","67,772.5","a","3.5","a","5.8","e"
"Connecticut","1,021.9","g","2,888.4","g","3,910.3","g","80,116.9","a","1.6","a","3.6","e"
"Delaware","1,817.3","g","2,206.2","g","4,023.5","g","77,447.4","a","0.8","a","1.0","e"
"District of Columbia","0.0","g","4,708.1","g","4,708.1","g","207,147.3","a","1.6","a","0.7","e"
"Florida","613.2","g","1,588.0","g","2,201.3","g","50,906.3","a","2.8","a","21.5","e"
"Georgia","874.6","g","2,049.4","g","2,924.0","g","58,049.3","a","2.0","a","10.6","e"
"Hawaii","2,776.5","g","0.0","g","2,776.5","g","68,708.1","a","1.0","a","1.4","e"
"Idaho","829.6","g","1,500.5","g","2,330.1","g","45,276.0","a","2.8","a","1.8","e"
"Illinois","693.6","g","2,503.1","g","3,196.7","g","70,796.9","a","1.6","a","12.7","e"
"Indiana","1,234.0","g","1,642.1","g","2,876.1","g","56,014.8","a","0.8","a","6.7","e"
"Iowa","1,105.8","g","2,537.1","g","3,642.9","g","61,738.4","a","0.9","a","3.2","e"
"Kansas","970.9","g","2,556.7","g","3,527.6","g","59,431.4","a","0.9","a","2.9","e"
"Kentucky","1,382.7","g","1,577.8","g","2,960.5","g","48,049.9","a","1.1","a","4.5","e"
"Louisiana","904.9","g","1,753.6","g","2,658.5","g","56,758.2","a","1.3","a","4.6","e"
"Maine","781.9","g","2,113.1","g","2,895.0","g","50,229.2","a","1.9","a","1.3","e"
"Maryland","1,025.9","g","2,621.9","g","3,647.8","g","70,850.4","a","1.5","a","6.0","e"
"Massachusetts","1,019.5","g","2,482.1","g","3,501.5","g","86,406.8","a","2.5","a","6.9","e"
"Michigan","1,324.2","g","2,102.2","g","3,426.4","g","54,226.4","a","0.7","a","10.0","e"
"Minnesota","1,177.8","g","2,492.0","g","3,669.8","g","67,531.9","a","1.4","a","5.6","e"
"Mississippi","906.7","g","1,844.6","g","2,751.4","g","39,910.6","a","1.3","a","3.0","e"
"Missouri","653.6","g","1,942.3","g","2,595.9","g","54,107.7","a","2.1","a","6.1","e"
"Montana","991.1","g","2,066.8","g","3,057.8","g","48,811.8","a","2.1","a","1.1","e"
"Nebraska","1,104.1","g","2,711.1","g","3,815.2","g","65,671.7","a","0.6","a","1.9","e"
"Nevada","792.6","g","1,670.8","g","2,463.4","g","57,664.2","a","2.9","a","3.1","e"
"New Hampshire","832.6","g","2,392.9","g","3,225.5","g","65,157.3","a","2.7","a","1.4","e"
"New Jersey","1,346.0","g","3,038.4","g","4,384.5","g","72,599.3","a","1.5","a","8.9","e"
"New Mexico","1,383.0","g","1,881.7","g","3,264.7","g","49,599.6","a","3.7","a","2.1","e"
"New York","672.3","g","4,072.3","g","4,744.6","g","89,027.7","a","1.8","a","19.5","e"
"North Carolina","1,086.7","g","1,720.1","g","2,806.8","g","56,036.0","a","2.3","a","10.5","e"
"North Dakota","1,471.6","g","2,397.7","g","3,869.4","g","74,845.4","a","2.3","a","0.8","e"
"Ohio","965.6","g","2,284.4","g","3,250.0","g","59,752.9","a","1.7","a","11.7","e"
"Oklahoma","1,105.3","g","1,605.1","g","2,710.4","g","52,074.7","a","2.4","a","4.0","e"
"Oregon","1,297.8","g","2,396.0","g","3,693.7","g","59,653.7","a","2.7","a","4.2","e"
"Pennsylvania","941.9","g","2,590.1","g","3,531.9","g","63,545.9","a","2.3","a","12.8","e"
"Rhode Island","1,046.6","g","2,431.0","g","3,477.6","g","59,980.6","a","2.7","a","1.1","e"
"South Carolina","1,193.5","g","1,957.3","g","3,150.9","g","47,839.0","a","3.0","a","5.1","e"
"South Dakota","1,059.0","g","2,029.5","g","3,088.4","g","60,255.6","a","0.7","a","0.9","e"
"Tennessee","742.7","g","1,526.7","g","2,269.3","g","55,663.9","a","2.2","a","6.8","e"
"Texas","994.8","g","2,278.2","g","3,273.0","g","65,076.8","a","4.4","a","29.0","e"
"All states combined","1,012.9","g","2,328.9","g","3,341.8","g","65,280.6","a","2.3","a","328.2","e"
"Utah","1,661.5","g","1,830.5","g","3,492.0","g","58,797.1","a","3.8","a","3.2","e"
"Vermont","1,932.3","g","3,339.5","g","5,271.8","g","55,746.3","a","2.5","a","0.6","e"
"Virginia","1,202.4","g","2,118.6","g","3,321.0","g","64,930.0","a","1.9","a","8.5","e"
"Washington","1,255.0","g","2,608.6","g","3,863.6","g","78,741.5","a","3.8","a","7.6","e"
"West Virginia","1,139.9","g","1,670.3","g","2,810.2","g","43,628.9","a","1.0","a","1.8","e"
"Wisconsin","966.0","g","2,514.8","g","3,480.7","g","59,649.7","a","1.4","a","5.8","e"
"Wyoming","1,231.2","g","3,309.9","g","4,541.1","g","68,502.1","a","3.3","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
"g - 'guesstimated' projection by usgovernmentspending.com"
